season,team,opportunities,outs_made,expected_outs,oaa,oaa_per_100
2023,NYM,2408,1478,1423.362751198356,54.63724880164409,2.2689887376098046
2023,LAD,3241,1978,1916.6256802449834,61.374319755016586,1.8936846576678983
2023,LAA,2380,1418,1387.8354858766568,30.164514123343224,1.2674165598043372
2023,OAK,1631,962,942.4468643839872,19.55313561601281,1.1988433854085108
2023,NYY,2700,1617,1604.7417133025897,12.258286697410313,0.45401061842260415
2023,AZ,3246,1904,1898.8109223390886,5.18907766091138,0.15986067963374553
2023,SD,3097,1812,1812.0146498452898,-0.014649845289795849,-0.0004730334287954746
2023,DET,2534,1503,1503.3380039447586,-0.3380039447586114,-0.013338750779739991
2023,MIL,2750,1625,1626.484911881588,-1.4849118815880047,-0.05399679569410926
2023,BAL,3490,1998,2007.8403605024562,-9.840360502456178,-0.2819587536520395
2023,CLE,2876,1651,1659.4262637703125,-8.426263770312516,-0.2929855274795729
2023,TB,2994,1751,1760.594006825419,-9.594006825419001,-0.3204411097334336
2023,CIN,2624,1503,1514.4498142044333,-11.449814204433324,-0.4363496266933431
2023,TEX,3568,2073,2089.994235954867,-16.99423595486678,-0.47629585075299274
2023,SEA,2976,1688,1702.4720161716816,-14.472016171681616,-0.4862908659839253
2023,MIN,2786,1616,1638.3281682406312,-22.328168240631157,-0.8014417889673783
2023,PHI,3046,1759,1785.9043699459148,-26.904369945914823,-0.8832688754404079
2023,CWS,2119,1219,1239.8261409663528,-20.826140966352796,-0.9828287383838035
2023,HOU,3390,1973,2013.6935699027788,-40.69356990277879,-1.2004002921173684
2023,TOR,2943,1690,1727.3287552723637,-37.32875527236365,-1.2683912766688294
2023,KC,1988,1113,1146.6010959095659,-33.601095909565856,-1.6901959713061296
2023,BOS,2669,1522,1567.1749109364152,-45.174910936415245,-1.69257815423062
2023,PIT,2521,1405,1447.6709032783544,-42.670903278354444,-1.6926181387685222
2023,WSH,2474,1408,1456.6633104338534,-48.66331043385344,-1.9669891040361132
2023,STL,2674,1514,1566.8575057605883,-52.85750576058831,-1.9767204846891664
2023,CHC,3068,1768,1828.7780979511206,-60.77809795112057,-1.9810331796323524
2023,SF,2561,1425,1489.0881777326413,-64.08817773264127,-2.5024669165420255
2023,ATL,3613,2058,2149.523099354468,-91.52309935446783,-2.533160790325708
2023,COL,2077,1115,1178.2524024798315,-63.25240247983152,-3.0453732537232314
2023,MIA,2499,1404,1498.2464687003253,-94.2464687003253,-3.771367294930984
2024,SEA,2856,1752,1670.4025684485753,81.59743155142473,2.857052925470054
2024,CWS,1629,998,959.1689399124446,38.83106008755544,2.3837360397517156
2024,OAK,2468,1504,1446.0179839244202,57.98201607557985,2.3493523531434297
2024,LAD,3594,2217,2135.0365748810163,81.96342511898365,2.2805627467719436
2024,CLE,3066,1851,1782.3445541274805,68.65544587251952,2.2392513330893515
2024,CIN,2558,1526,1471.9971139602758,54.00288603972422,2.1111370617562244
2024,NYY,3477,2119,2060.1304599328137,58.869540067186335,1.693113030405129
2024,KC,2895,1714,1676.080644756073,37.91935524392693,1.3098222882185468
2024,TOR,2685,1601,1566.7314451635111,34.268554836488875,1.2762962695154143
2024,DET,3167,1893,1862.3134870347149,30.686512965285146,0.9689457835581038
2024,BAL,3105,1858,1829.1959159216103,28.80408407838968,0.9276677641993455
2024,CHC,2946,1757,1730.7562442642159,26.243755735784134,0.8908267391644309
2024,ATL,2721,1620,1599.234347219016,20.765652780984055,0.7631625424837948
2024,LAA,2153,1279,1265.0661665249547,13.933833475045276,0.6471822329328971
2024,TB,2546,1508,1497.1701488988447,10.829851101155327,0.42536728598410556
2024,HOU,2980,1724,1718.5923289547661,5.407671045233883,0.18146547131657326
2024,MIN,2739,1609,1604.030102860541,4.969897139458908,0.18144932966261074
2024,TEX,2378,1386,1383.6547044455242,2.345295554475797,0.09862470792581148
2024,SD,3043,1786,1786.9855961772282,-0.9855961772282171,-0.03238896408899826
2024,MIL,3278,1885,1896.5840523637187,-11.584052363718683,-0.35338780853321183
2024,NYM,2928,1741,1757.0717669501453,-16.071766950145275,-0.5488991444721747
2024,SF,2479,1428,1449.6148315111166,-21.614831511116563,-0.8719173663217653
2024,PIT,2373,1357,1378.8538370700262,-21.853837070026202,-0.9209370868110494
2024,MIA,1810,1036,1054.5349914625,-18.534991462500102,-1.0240326774861934
2024,AZ,3137,1774,1807.84933397391,-33.84933397391001,-1.0790351920277337
2024,STL,2990,1716,1757.0891542067131,-41.08915420671315,-1.3742192042378978
2024,PHI,2996,1696,1757.5586355099013,-61.55863550990125,-2.0546941091422313
2024,COL,2065,1148,1190.803256101602,-42.803256101602074,-2.0727969056465896
2024,BOS,2872,1631,1693.907975787846,-62.907975787846,-2.190389129103273
2024,WSH,2544,1411,1470.803487067116,-59.803487067116066,-2.350766001065883
2025,CLE,2800,1703,1610.2626935439864,92.73730645601358,3.312046659143342
2025,SD,3031,1834,1756.833134600104,77.1668653998961,2.5459209963674065
2025,CHC,3119,1889,1826.4901602398402,62.50983976015982,2.004162865025964
2025,TEX,2714,1652,1600.4832176240168,51.51678237598321,1.898186528223405
2025,LAD,3372,2050,1989.2726650631046,60.72733493689543,1.800929268591205
2025,ATH,2382,1434,1394.7529916766252,39.24700832337476,1.6476493838528445
2025,CIN,2574,1539,1497.2183194307256,41.781680569274386,1.6232199133362233
2025,NYY,3241,1938,1894.6427003659849,43.357299634015135,1.3377753666774186
2025,BAL,2436,1447,1419.020909865558,27.979090134442004,1.148566918491051
2025,SEA,3118,1863,1833.064944142494,29.935055857506086,0.9600723495030816
2025,MIL,3203,1907,1877.3500506802443,29.649949319755706,0.9256930789808213
2025,DET,3113,1837,1812.296581882175,24.703418117825095,0.7935566372574717
2025,LAA,2191,1306,1290.7995868042276,15.200413195772398,0.6937660061968233
2025,AZ,2722,1594,1580.2542538852097,13.745746114790336,0.5049869990738551
2025,MIA,2581,1528,1517.0618825667102,10.93811743328979,0.4237937788953812
2025,KC,3008,1729,1719.8953457577848,9.104654242215247,0.3026813245417303
2025,CWS,2355,1365,1359.750690578672,5.249309421328007,0.22290061237061604
2025,SF,2542,1485,1479.483474457392,5.516525542607951,0.21701516690039147
2025,HOU,2897,1680,1673.8453153049527,6.154684695047308,0.21245028288047318
2025,ATL,2849,1664,1662.2266559073191,1.7733440926808726,0.06224443989753852
2025,MIN,2279,1333,1331.8875384293174,1.1124615706826262,0.04881358361924643
2025,STL,2650,1540,1550.646372641175,-10.646372641175049,-0.40174991098773766
2025,BOS,3067,1773,1787.6501567349383,-14.650156734938264,-0.4776705815108661
2025,TB,2564,1462,1479.6409540872896,-17.64095408728963,-0.6880247303935113
2025,PHI,3373,1942,1977.3399935876769,-35.33999358767687,-1.047731799219593
2025,TOR,3478,1984,2025.0380451146907,-41.0380451146907,-1.1799322919692554
2025,WSH,2227,1273,1302.6912819887393,-29.69128198873932,-1.3332412208684024
2025,PIT,2327,1329,1362.0462086875943,-33.046208687594344,-1.4201206999395937
2025,COL,1562,886,909.4436351810173,-23.44363518101727,-1.5008729309230007
2025,NYM,2648,1472,1547.65493244614,-75.65493244614004,-2.857059382407101
